City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall,Rainfall,Country
0,Cape Town,-33.93,18.42,59.0,93,75,28.86,light rain,0,0.0,ZA
1,Charters Towers,-20.1,146.27,64.13,33,53,17.25,broken clouds,0,0.0,AU
2,Norman Wells,65.28,-126.83,66.2,63,75,5.82,broken clouds,0,0.0,CA
3,San Cristobal,7.77,-72.22,65.16,86,100,1.41,overcast clouds,0,0.0,VE
4,Bluff,-46.6,168.33,47.5,69,100,11.52,overcast clouds,0,0.0,NZ
5,Mar Del Plata,-38.0,-57.56,42.8,60,0,23.04,clear sky,0,0.0,AR
6,Arraial Do Cabo,-22.97,-42.03,72.46,78,92,13.87,overcast clouds,0,0.0,BR
7,Rikitea,-23.12,-134.97,71.11,74,48,13.58,scattered clouds,0,0.0,PF
8,Albany,42.6,-73.97,78.01,54,95,4.7,overcast clouds,0,0.0,US
9,Ortakoy,38.74,34.04,71.6,53,0,2.24,clear sky,0,0.0,TR
10,Moussoro,13.64,16.49,83.98,52,30,11.43,scattered clouds,0,0.0,TD
11,Wagrowiec,52.81,17.2,55.99,71,1,5.82,clear sky,0,0.0,PL
12,Ust-Kut,56.79,105.77,73.29,45,0,2.82,clear sky,0,0.0,RU
13,Qaanaaq,77.48,-69.36,44.62,67,98,2.15,overcast clouds,0,0.0,GL
14,Ilanskiy,56.24,96.06,64.74,73,49,7.18,scattered clouds,0,0.0,RU
15,Roald,62.58,6.13,51.8,76,45,4.7,scattered clouds,0,0.0,NO
16,La Ronge,55.1,-105.28,68.0,82,75,6.93,light intensity shower rain,0,0.0,CA
17,Tuktoyaktuk,69.45,-133.04,57.2,62,75,10.29,broken clouds,0,0.0,CA
18,Jamestown,42.1,-79.24,70.0,73,1,6.93,clear sky,0,0.0,US
19,Provideniya,64.38,-173.3,50.0,81,40,15.66,fog,0,0.0,RU
20,Esperance,-33.87,121.9,48.2,61,0,20.8,clear sky,0,0.0,AU
21,Ouadda,8.08,22.4,66.92,94,100,2.28,light rain,0,0.2,CF
22,Hithadhoo,-0.6,73.08,84.56,73,42,10.29,scattered clouds,0,0.0,MV
23,Ushuaia,-54.8,-68.3,35.6,80,40,18.34,scattered clouds,0,0.0,AR
24,Methoni,36.82,21.7,77.0,82,20,2.3,few clouds,0,0.0,GR
25,Hobart,-42.88,147.33,46.99,81,75,5.82,broken clouds,0,0.0,AU
26,Vaini,-21.2,-175.2,71.26,77,98,27.56,overcast clouds,0,0.0,TO
27,Bredasdorp,-34.53,20.04,62.6,48,95,19.46,moderate rain,0,2.84,ZA
28,Arica,-18.48,-70.3,59.0,77,35,6.93,scattered clouds,0,0.0,CL
29,Comodoro Rivadavia,-45.87,-67.5,41.0,60,3,16.11,clear sky,0,0.0,AR
30,East London,-33.02,27.91,60.12,35,0,15.28,clear sky,0,0.0,ZA
31,Sao Filipe,14.9,-24.5,74.86,83,100,3.89,overcast clouds,0,0.0,CV
32,Khatanga,71.97,102.5,60.35,63,58,17.96,broken clouds,0,0.0,RU
33,Sisimiut,66.94,-53.67,49.78,66,87,12.33,overcast clouds,0,0.0,GL
34,Souillac,-20.52,57.52,69.8,83,75,12.75,shower rain,0,0.0,MU
35,Katobu,-4.94,122.53,81.21,75,38,9.06,scattered clouds,0,0.0,ID
36,Oistins,13.07,-59.53,82.4,78,20,14.99,few clouds,0,0.0,BB
37,Vung Tau,10.35,107.08,81.5,77,97,3.22,overcast clouds,0,0.0,VN
38,Mataura,-46.19,168.86,43.57,86,94,4.52,overcast clouds,0,0.0,NZ
39,Gimbi,9.17,35.83,56.14,100,100,2.19,moderate rain,0,1.39,ET
40,Punta Arenas,-53.15,-70.92,35.01,83,24,8.05,few clouds,0,0.0,CL
41,Touros,-5.2,-35.46,71.6,94,20,3.36,few clouds,0,0.0,BR
42,Flinders,-34.58,150.86,60.01,72,0,8.99,clear sky,0,0.0,AU
43,Tukums,56.97,23.16,46.4,100,7,3.36,clear sky,0,0.0,LV
44,Nikolskoye,59.7,30.79,51.8,81,0,1.23,fog,0,0.0,RU
45,Ambon,-3.7,128.18,79.0,14,100,18.16,moderate rain,0,1.07,ID
46,Baton Rouge,30.45,-91.15,90.0,62,1,6.93,clear sky,0,0.0,US
47,Lagos,6.58,3.75,77.0,94,20,3.36,few clouds,0,0.0,NG
48,Port Alfred,-33.59,26.89,59.07,34,0,9.01,clear sky,0,0.0,ZA
49,Porbandar,21.64,69.61,83.07,82,40,13.53,light rain,0,0.15,IN
